date,equity
2022-09-01,100000.0
2022-09-02,100000.0
2022-09-03,100000.0
2022-09-04,100000.0
2022-09-05,100000.0
2022-09-06,100000.0
2022-09-07,100000.0
2022-09-08,100000.0
2022-09-09,100000.0
2022-09-10,100000.0
2022-09-11,100000.0
2022-09-12,100000.0
2022-09-13,99623.39712557479
2022-09-14,99623.39712557479
2022-09-15,99623.39712557479
2022-09-16,99604.5137642808
2022-09-17,99252.75812994376
2022-09-18,99252.75812994376
2022-09-19,99470.54489922033
2022-09-20,98652.10608966008
2022-09-21,98652.10608966008
2022-09-22,98652.10608966008
2022-09-23,98652.10608966008
2022-09-24,98652.10608966008
2022-09-25,98652.10608966008
2022-09-26,98652.10608966008
2022-09-27,98723.38266782142
2022-09-28,98723.38266782142
2022-09-29,98723.38266782142
2022-09-30,98875.60895436592
2022-10-01,98425.18826368183
2022-10-02,98512.86410440523
2022-10-03,98512.86410440523
2022-10-04,98621.80745559212
2022-10-05,98674.77760067003
2022-10-06,98416.96383772267
2022-10-07,98416.96383772267
2022-10-08,98416.96383772267
2022-10-09,98216.13823324116
2022-10-10,98353.11421724127
2022-10-11,98353.11421724127
2022-10-12,98650.91512315409
2022-10-13,98650.91512315409
2022-10-14,98650.91512315409
2022-10-15,98427.7311272154
2022-10-16,98616.39748816438
2022-10-17,98058.7129967857
2022-10-18,98342.6606327714
2022-10-19,98684.06920230166
2022-10-20,98684.06920230166
2022-10-21,98498.0870583795
2022-10-22,98917.41200835114
2022-10-23,99179.86460051539
2022-10-24,99179.86460051539
2022-10-25,98980.88602524692
2022-10-26,98980.88602524692
2022-10-27,98534.98175843923
2022-10-28,98534.98175843923
2022-10-29,98534.98175843923
2022-10-30,98534.98175843923
2022-10-31,98534.98175843923
2022-11-01,99088.787305185
2022-11-02,99196.02207463625
2022-11-03,99435.71082852222
2022-11-04,99240.69250651522
2022-11-05,99240.69250651522
2022-11-06,99240.69250651522
2022-11-07,99240.69250651522
2022-11-08,99240.69250651522
2022-11-09,99952.77138433095
2022-11-10,86103.61060641146
2022-11-11,86155.75911847482
2022-11-12,86155.75911847482
2022-11-13,86155.75911847482
2022-11-14,86505.43664034911
2022-11-15,86566.51853054641
2022-11-16,86566.51853054641
2022-11-17,86566.51853054641
2022-11-18,86993.30118891982
2022-11-19,86688.48625114122
2022-11-20,86688.48625114122
2022-11-21,86688.48625114122
2022-11-22,86353.09930439318
2022-11-23,86304.22923139748
2022-11-24,86181.24426751258
2022-11-25,86421.77691326765
2022-11-26,86421.77691326765
2022-11-27,86421.77691326765
2022-11-28,86421.77691326765
2022-11-29,86284.29338158875
2022-11-30,85511.3982731696
2022-12-01,85511.3982731696
2022-12-02,85511.3982731696
2022-12-03,85573.85440324811
2022-12-04,85447.38405350636
2022-12-05,85447.38405350636
2022-12-06,85447.38405350636
2022-12-07,85447.38405350636
2022-12-08,85447.38405350636
2022-12-09,85165.19006423256
2022-12-10,85165.19006423256
2022-12-11,84974.76639454742
2022-12-12,84974.76639454742
2022-12-13,84974.76639454742
2022-12-14,84974.76639454742
2022-12-15,84123.45728322823
2022-12-16,84117.56159409581
2022-12-17,84117.56159409581
2022-12-18,83956.20077444417
2022-12-19,83853.19014736982
2022-12-20,83860.34514744712
2022-12-21,83860.34514744712
2022-12-22,83944.24092333419
2022-12-23,83659.86359687865
2022-12-24,83659.86359687865
2022-12-25,83852.50754378512
2022-12-26,83392.63976403585
2022-12-27,83060.80224264476
2022-12-28,82788.8396996929
2022-12-29,82932.8098424395
2022-12-30,82932.8098424395
2022-12-31,83669.50169546744
2023-01-01,83462.06909754632
2023-01-02,83356.84584744519
2023-01-03,83276.57630890643
2023-01-04,84491.84590268556
2023-01-05,84574.87100121882
2023-01-06,84436.52066153832
2023-01-07,84175.11004176011
2023-01-08,84393.44915208942
2023-01-09,84393.44915208942
2023-01-10,84393.44915208942
2023-01-11,84393.44915208942
2023-01-12,83951.88032844347
2023-01-13,83756.23447335843
2023-01-14,83874.9930281814
2023-01-15,83816.78563412641
2023-01-16,83816.78563412641
2023-01-17,83816.78563412641
2023-01-18,83679.20463817891
2023-01-19,83417.93640550697
2023-01-20,83417.93640550697
2023-01-21,83234.89750717655
2023-01-22,83234.89750717655
2023-01-23,83234.89750717655
2023-01-24,83111.05941440737
2023-01-25,83111.05941440737
2023-01-26,83111.05941440737
2023-01-27,83111.05941440737
2023-01-28,83111.05941440737
2023-01-29,83111.05941440737
2023-01-30,83111.05941440737
2023-01-31,83566.50731377302
2023-02-01,83566.50731377302
2023-02-02,83566.50731377302
2023-02-03,83216.60119039654
2023-02-04,83532.90936326752
2023-02-05,83532.90936326752
2023-02-06,83532.90936326752
2023-02-07,83569.30488964952
2023-02-08,83212.06461167455
2023-02-09,82980.15589058434
2023-02-10,82980.15589058434
2023-02-11,82980.15589058434
